date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:18:49	6953/6953	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Aug%202020%2007:28:57%20GMT	https://bemudayana.id/bem_images/sosial/youtube.png	C:/My%20Web%20Sites/bem/bemudayana.id/bem_images/sosial/youtube.png	(from https://bemudayana.id/)
10:18:50	20629/20629	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Aug%202020%2007:28:58%20GMT	https://bemudayana.id/bem_images/sosial/spotify.png	C:/My%20Web%20Sites/bem/bemudayana.id/bem_images/sosial/spotify.png	(from https://bemudayana.id/)
10:18:50	879090/879090	---M--	200	added ('OK')	image/jpeg	date:Sun,%2015%20Nov%202020%2015:31:34%20GMT	https://bemudayana.id/admin.bemudayana.id/dashboard/dist/assets/img/S__21094851.jpg	C:/My%20Web%20Sites/bem/bemudayana.id/admin.bemudayana.id/dashboard/dist/assets/img/S__21094851.jpg	(from https://bemudayana.id/)
10:18:51	11233/11233	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03d2a-2be1%22	https://cdnjs.cloudflare.com/ajax/libs/animejs/2.0.2/anime.min.js	C:/My%20Web%20Sites/bem/cdnjs.cloudflare.com/ajax/libs/animejs/2.0.2/anime.min.js	(from https://bemudayana.id/)
10:18:51	88145/88145	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2004%20Apr%202020%2006:21:38%20GMT	https://bemudayana.id/bem_js/jquery.min.js	C:/My%20Web%20Sites/bem/bemudayana.id/bem_js/jquery.min.js	(from https://bemudayana.id/)
10:18:51	80698/80698	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2004%20Apr%202020%2006:21:38%20GMT	https://bemudayana.id/bem_js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/bem/bemudayana.id/bem_js/bootstrap.bundle.min.js	(from https://bemudayana.id/)
10:18:51	20947/20947	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2004%20Apr%202020%2006:21:38%20GMT	https://bemudayana.id/bem_js/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/bem/bemudayana.id/bem_js/jquery.magnific-popup.min.js	(from https://bemudayana.id/)
10:18:51	72489/72489	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2004%20Apr%202020%2006:21:39%20GMT	https://bemudayana.id/bem_js/feather.min.js	C:/My%20Web%20Sites/bem/bemudayana.id/bem_js/feather.min.js	(from https://bemudayana.id/)
10:18:52	201/201	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2004%20Apr%202020%2006:21:38%20GMT	https://bemudayana.id/bem_js/magnific.init.js	C:/My%20Web%20Sites/bem/bemudayana.id/bem_js/magnific.init.js	(from https://bemudayana.id/)
10:18:52	35624/35624	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2004%20Apr%202020%2006:21:38%20GMT	https://bemudayana.id/bem_js/isotope.js	C:/My%20Web%20Sites/bem/bemudayana.id/bem_js/isotope.js	(from https://bemudayana.id/)
